id,produit,categorie,quantite,prix_unitaire,remise,region,date_vente,client,type_client,revenu_client,anciennete_client,canal_vente,moyen_paiement,satisfaction_client
62bfb1fe-a0c2-4b63-98ea-49971c5f17a2,Ordinateur,Électronique,5,374.14,0.08,Tunis,2025-04-20,Alain Hoarau,Particulier,5718.23,5,revendeur,Carte bancaire,5
5e002527-850f-46f7-b844-e646106b60f5,Tablette,Électronique,1,1597.67,0.08,Sfax,2024-10-14,Yves Launay Le Sanchez,Entreprise,3024.95,10,revendeur,Chèque,2
028b1eea-fe0f-4546-a74d-407d61a96042,Téléphone,Électronique,2,1137.11,0.16,Nabeul,2024-07-14,Matthieu Lemoine-Voisin,Particulier,6466.79,6,magasin,Carte bancaire,5
914a147a-af34-412b-b168-f063eb5e24d1,Écran,Bureautique,7,922.34,0.15,Tunis,2024-07-13,Corinne Marty,Entreprise,6392.04,6,magasin,Virement,1
6130576c-6969-4e3a-aa40-af07b3c6aef3,Écran,Bureautique,7,600.66,0.07,Tunis,2025-03-05,Jules Marchand,Particulier,3672.13,4,revendeur,Carte bancaire,5
286e0155-5ac2-4a20-be99-9bb1b1bfcb9b,Écran,Électronique,2,180.87,0.15,Bizerte,2024-11-08,Vincent Bourgeois-Lombard,Particulier,8601.46,10,magasin,Carte bancaire,5
ae8c1f0c-5dc3-483e-a9b5-a84862de2c82,Ordinateur,Informatique,2,1038.29,0.05,Gabès,2025-01-10,Adèle Pires,Particulier,2052.84,1,magasin,Virement,3
7387332c-f6da-492f-ac7e-89502d513185,Ordinateur,Électronique,2,726.19,0.12,Nabeul,2025-05-01,Guy Sauvage,Entreprise,7064.8,8,en ligne,Virement,2
d826b2df-18b3-4dc7-aa6f-1b0b052a5921,Ordinateur,Électronique,7,601.45,0.11,Tunis,2024-09-30,Yves Lopes de Guilbert,Particulier,2243.44,8,magasin,Chèque,4
606a9f12-76dc-4afd-849e-69356a3a87d7,Imprimante,Informatique,10,1124.09,0.07,Gabès,2024-11-12,Julien Lejeune,Particulier,9181.75,7,revendeur,Carte bancaire,3
