Entreprise,Date,Département,TypeTransaction,TypeDépense,Montant,DepartementID,Responsable,Client_Fournisseur,Projet,Année,Mois,Trimestre,YearMonth,AnnéeFiscale,JourSemaine,Montant_Signe,Semaine,JourAnnée
Tunisie Telecom,2024-09-08,Ventes,Revenu,N/A,68047.24,DEPT001,Rami Mejri,Tunisair,Tests_Equipement,2024,9,3,2024-09,2024,Sunday,68047.24,36,252
Tunisie Telecom,2025-05-22,Production,Dépense,Matières premières,1915.291,DEPT003,Karim Zouari,Total_Tunisie,Maintenance_Réseau,2025,5,2,2025-05,2025,Thursday,-1915.291,21,142
Tunisie Telecom,2024-05-15,Ventes,Dépense,Déplacements,22355.577,DEPT001,Asma Chaabane,Total_Tunisie,Infrastructure_Télécom,2024,5,2,2024-05,2024,Wednesday,-22355.577,20,136
Tunisie Telecom,2023-11-18,IT,Revenu,N/A,17037.806,DEPT006,Henda Chaabane,Huawei Tunisie,Migration_Cloud,2023,11,4,2023-11,2023,Saturday,17037.806,46,322
Tunisie Telecom,2024-01-05,Logistique,Dépense,Carburant,7578.194,DEPT008,Faten Rezgui,TNT_Express,Création_Graphique,2024,1,1,2024-01,2024,Friday,-7578.194,1,5
Tunisie Telecom,2025-07-26,R&D,Dépense,Développement,4147.381,DEPT004,Salma Oueslati,Centre_Formation_Ventes,Projet_Fibre_2023,2025,7,3,2025-07,2025,Saturday,-4147.381,30,207
Tunisie Telecom,2025-05-06,Ressources Humaines,Dépense,Événements internes,1682.339,DEPT005,Sonia Ben Salem,Laboratoire_Télécom_TN,Services_Financiers,2025,5,2,2025-05,2025,Tuesday,-1682.339,19,126
Tunisie Telecom,2023-05-09,R&D,Dépense,Brevets,20072.378,DEPT004,Mohamed Lahmar,SSII_Tunisie,Salon_Tech,2023,5,2,2023-05,2023,Tuesday,-20072.378,19,129
Tunisie Telecom,2023-12-21,Ventes,Dépense,Commissions,20241.189,DEPT001,Zied Rezgui,Cabinet_Audit_TN,Matériel_Bureau,2023,12,4,2023-12,2023,Thursday,-20241.189,51,355
Tunisie Telecom,2024-06-02,Logistique,Dépense,Transport,908.851,DEPT008,Imen Rezgui,Fournisseur_Câbles_TN,Recherche_5G,2024,6,2,2024-06,2024,Sunday,-908.851,22,154
Tunisie Telecom,2023-08-29,IT,Dépense,Support,11060.473,DEPT006,Sonia Tlili,Transport_TN,Transport_Express,2023,8,3,2023-08,2023,Tuesday,-11060.473,35,241
Tunisie Telecom,2024-08-02,Ressources Humaines,Revenu,N/A,61548.261,DEPT005,Sirine Guesmi,Ericsson Tunisie,Service_Bancaire_2023,2024,8,3,2024-08,2024,Friday,61548.261,31,215
Tunisie Telecom,2025-10-11,Finance,Revenu,N/A,71493.643,DEPT007,Omar Bouaziz,STB,Campagne_Digitale_Q4,2025,10,4,2025-10,2025,Saturday,71493.643,41,284
Tunisie Telecom,2024-01-29,Finance,Dépense,Formation,2329.977,DEPT007,Salma Ferchichi,Centre_Formation_Ventes,Déploiement_Réseau,2024,1,1,2024-01,2024,Monday,-2329.977,5,29
Tunisie Telecom,2024-10-31,R&D,Dépense,Recherche,9093.681,DEPT004,Youssef Ferchichi,Hotel_Lac_Tunis,Projet_Fibre_2023,2024,10,4,2024-10,2024,Thursday,-9093.681,44,305
Tunisie Telecom,2023-02-03,Ressources Humaines,Dépense,Recrutement,24078.977,DEPT005,Marwa Masmoudi,SOTRAME,Développement_App,2023,2,1,2023-02,2023,Friday,-24078.977,5,34
Tunisie Telecom,2023-04-06,Finance,Revenu,N/A,10793.39,DEPT007,Ahmed Karray,Maroc Telecom,Recrutement_2023,2023,4,2,2023-04,2023,Thursday,10793.39,14,96
Tunisie Telecom,2023-03-08,Ventes,Revenu,N/A,70820.173,DEPT001,Ahmed Jebali,Libyana,Développement_App,2023,3,1,2023-03,2023,Wednesday,70820.173,10,67
Tunisie Telecom,2023-09-29,Ventes,Dépense,Commissions,13426.523,DEPT001,Asma Mejri,INNORPI,Fournitures_Bureau,2023,9,3,2023-09,2023,Friday,-13426.523,39,272
Tunisie Telecom,2023-08-08,IT,Dépense,Sécurité,19304.774,DEPT006,Imen Nciri,Société_Maintenance_TN,Serveurs_Infrastructure,2023,8,3,2023-08,2023,Tuesday,-19304.774,32,220
Tunisie Telecom,2025-06-12,Ressources Humaines,Dépense,Avantages,18733.915,DEPT005,Nadia Masmoudi,CNSS,Infrastructure_Télécom,2025,6,2,2025-06,2025,Thursday,-18733.915,24,163
Tunisie Telecom,2023-05-10,Ressources Humaines,Revenu,N/A,74627.343,DEPT005,Sana Oueslati,Ministère TIC,Transport_Équipement,2023,5,2,2023-05,2023,Wednesday,74627.343,19,130
Tunisie Telecom,2023-07-03,IT,Dépense,Sécurité,10561.825,DEPT006,Anis Saidi,Agence_Pub_Media,Protection_IP,2023,7,3,2023-07,2023,Monday,-10561.825,27,184
Tunisie Telecom,2024-07-27,Ressources Humaines,Dépense,Recrutement,10640.948,DEPT005,Sami Kchaou,Transport_TN,Déploiement_Réseau,2024,7,3,2024-07,2024,Saturday,-10640.948,30,209
Tunisie Telecom,2024-11-17,Marketing,Revenu,N/A,6006.856,DEPT002,Marwa Jebali,STB,Maintenance_Réseau,2024,11,4,2024-11,2024,Sunday,6006.856,46,322
Tunisie Telecom,2025-08-15,Ventes,Dépense,Événements,2050.566,DEPT001,Karim Sassi,Centre_Etudes_Telecom,Projet_Logistique_2023,2025,8,3,2025-08,2025,Friday,-2050.566,33,227
Tunisie Telecom,2023-06-15,Ventes,Revenu,N/A,79525.093,DEPT001,Hassan Ben Amor,Libyana,Formation_Management,2023,6,2,2023-06,2023,Thursday,79525.093,24,166
Tunisie Telecom,2024-02-29,R&D,Dépense,Tests,2964.947,DEPT004,Henda Ferchichi,ISG_Tunis,Campagne_Digitale_Q4,2024,2,1,2024-02,2024,Thursday,-2964.947,9,60
Tunisie Telecom,2023-07-20,Marketing,Revenu,N/A,11049.253,DEPT002,Nadia Sassi,Orange Tunisie,Matériel_Emballage,2023,7,3,2023-07,2023,Thursday,11049.253,29,201
Tunisie Telecom,2025-12-31,Logistique,Dépense,Maintenance,13400.024,DEPT008,Rim Rezgui,Deloitte_Tunisie,Cotisations_Sociales,2025,12,4,2025-12,2025,Wednesday,-13400.024,1,365
Tunisie Telecom,2024-01-30,Ressources Humaines,Revenu,N/A,34494.053,DEPT005,Hanen Jebali,Ministère TIC,Audit_Externe,2024,1,1,2024-01,2024,Tuesday,34494.053,5,30
Tunisie Telecom,2024-08-05,Production,Dépense,Maintenance,1295.597,DEPT003,Nadia Kchaou,SAP_Tunisie,Services_Financiers,2024,8,3,2024-08,2024,Monday,-1295.597,32,218
Tunisie Telecom,2023-04-15,IT,Revenu,N/A,15771.967,DEPT006,Omar Jebali,Huawei Tunisie,Projet_Fibre_2023,2023,4,2,2023-04,2023,Saturday,15771.967,15,105
Tunisie Telecom,2023-03-17,Marketing,Dépense,Digital,659.92,DEPT002,Asma Ferchichi,Agence_Créative_TN,Sécurité_Informatique,2023,3,1,2023-03,2023,Friday,-659.92,11,76
Tunisie Telecom,2023-12-14,Logistique,Dépense,Emballage,6505.593,DEPT008,Fatma Ben Amor,Ericsson_Services,Salon_Tech,2023,12,4,2023-12,2023,Thursday,-6505.593,50,348
Tunisie Telecom,2023-03-23,Marketing,Dépense,Événements,21840.386,DEPT002,Aicha Trabelsi,Centre_Formation_Ventes,Matériel_Emballage,2023,3,1,2023-03,2023,Thursday,-21840.386,12,82
Tunisie Telecom,2024-01-23,Finance,Dépense,Audit,19330.452,DEPT007,Omar Ben Ali,Agence_Events_TN,Matériel_Emballage,2024,1,1,2024-01,2024,Tuesday,-19330.452,4,23
Tunisie Telecom,2024-08-09,IT,Revenu,N/A,6495.556,DEPT006,Salma Ben Ali,Union_Bancaire,Carburant_Flotte,2024,8,3,2024-08,2024,Friday,6495.556,32,222
Tunisie Telecom,2023-08-29,Ressources Humaines,Dépense,Formation,14358.579,DEPT005,Marwen Jebali,INNORPI,Extension_Réseau,2023,8,3,2023-08,2023,Tuesday,-14358.579,35,241
Tunisie Telecom,2024-04-02,Production,Dépense,Énergie,6897.179,DEPT003,Sami Trabelsi,AWS_Tunisie,Transformation_Digitale,2024,4,2,2024-04,2024,Tuesday,-6897.179,14,93
Tunisie Telecom,2025-04-28,IT,Dépense,Logiciels,6069.92,DEPT006,Rania Trabelsi,Agence_Pub_Media,Transport_Express,2025,4,2,2025-04,2025,Monday,-6069.92,18,118
Tunisie Telecom,2025-06-14,Ressources Humaines,Dépense,Salaires,13011.198,DEPT005,Yasmine Tlili,ISG_Tunis,Fournitures_Bureau,2025,6,2,2025-06,2025,Saturday,-13011.198,24,165
Tunisie Telecom,2025-01-26,Finance,Revenu,N/A,29414.895,DEPT007,Sami Dahmani,Amen Bank,Extension_Réseau,2025,1,1,2025-01,2025,Sunday,29414.895,4,26
Tunisie Telecom,2025-06-25,Logistique,Dépense,Transport,19130.632,DEPT008,Hanen Mejri,Centre_Etudes_Telecom,Cotisations_Sociales,2025,6,2,2025-06,2025,Wednesday,-19130.632,26,176
Tunisie Telecom,2024-10-09,Marketing,Dépense,Événements,23457.032,DEPT002,Rania Jebali,Centre_Etudes_Telecom,Serveurs_Infrastructure,2024,10,4,2024-10,2024,Wednesday,-23457.032,41,283
Tunisie Telecom,2023-10-25,Ventes,Dépense,Commissions,11611.775,DEPT001,Aymen Nciri,Cabinet_Audit_TN,Partenariat_Recherche,2023,10,4,2023-10,2023,Wednesday,-11611.775,43,298
Tunisie Telecom,2025-02-06,Ressources Humaines,Revenu,N/A,43181.773,DEPT005,Imen Trabelsi,Zitouna Bank,Services_Financiers,2025,2,1,2025-02,2025,Thursday,43181.773,6,37
